"Date","Price","Open","High","Low","Vol.","Change %"
"11/01/2017","10,560.44","10,816.04","10,882.65","10,560.44","61.17B","-2.16%"
"10/01/2017","10,793.80","10,425.10","10,842.25","10,414.53","43.47B","3.95%"
"09/01/2017","10,383.94","10,576.27","10,664.18","10,257.02","57.99B","-1.91%"
"08/01/2017","10,585.78","10,408.53","10,619.42","10,225.28","58.80B","1.52%"
"07/01/2017","10,427.33","10,368.99","10,537.42","10,283.95","44.43B","0.31%"
"06/01/2017","10,395.07","10,064.44","10,545.70","10,033.25","48.96B","3.53%"
"05/01/2017","10,040.72","9,926.44","10,121.88","9,895.65","38.76B","1.71%"
"04/01/2017","9,872.00","9,856.44","9,949.48","9,622.25","38.37B","0.62%"
"03/01/2017","9,811.52","9,751.12","9,976.61","9,562.75","53.50B","0.63%"
"02/01/2017","9,750.47","9,502.25","9,869.59","9,413.77","49.27B","3.20%"
"01/01/2017","9,447.95","9,252.56","9,468.34","9,235.95","27.57B","2.10%"
"12/01/2016","9,253.50","9,245.55","9,430.34","9,078.64","34.73B","0.14%"
"11/01/2016","9,240.71","9,272.30","9,296.86","8,879.69","40.36B","-0.53%"
"10/01/2016","9,290.12","9,219.52","9,399.97","9,074.99","29.19B","1.34%"
"09/01/2016","9,166.85","9,055.73","9,303.13","8,885.55","31.39B","1.08%"
"08/01/2016","9,068.85","9,008.74","9,200.42","8,928.33","41.42B","0.94%"
"07/01/2016","8,984.41","8,692.48","9,085.91","8,569.15","42.11B","3.67%"
"06/01/2016","8,666.58","8,516.08","8,754.82","8,374.26","33.61B","1.53%"
"05/01/2016","8,535.59","8,362.35","8,563.40","7,999.98","33.22B","1.88%"
"04/01/2016","8,377.90","8,700.38","8,743.35","8,352.23","29.93B","-4.20%"
"03/01/2016","8,744.83","8,381.38","8,840.75","8,378.06","48.45B","3.97%"
"02/01/2016","8,411.16","8,164.24","8,432.74","7,953.99","24.29B","3.27%"
"01/01/2016","8,145.21","8,315.79","8,326.33","7,627.89","37.35B","-2.31%"
"12/01/2015","8,338.06","8,359.27","8,535.36","7,980.59","41.10B","0.21%"
"11/01/2015","8,320.61","8,571.53","8,871.87","8,217.34","39.05B","-2.73%"
"10/01/2015","8,554.31","8,194.30","8,757.14","8,170.78","40.97B","4.56%"
